,s_uri,subject,generation
0,Q223854,Jackson Rathbone," Jackson Rathbone is an American actor, singer, and musician. He was born on 14 November 1978 in Bloomington, Illinois, USA. Rathbone began his acting career at a young age, making his film debut in the 2001 film ""Urban Legend."" He went on to appear in several other films and television shows, including ""10.5: Apocalypse,"" ""The Twilight Saga: Breaking Dawn - Part 1 & 2,"" ""The Last Airbender,"" and ""Spartacus: Blood and Sand.""

In addition to his acting career, Rathbone is also a talented musician. He plays the guitar, bass, and drums, and has been involved in several musical projects over the years. He has released two albums as a solo artist, ""The Last Airbender"" and ""The Twilight Saga: Breaking Dawn - Part 1 & 2,"" and has also been involved in the music of other projects he has been a part of.

Rathbone is also known for his work as a voice actor. He has lent his voice to several animated films and television shows, including ""The Legend of Tarzan,"" ""The Spectacular Spider-Man,"" and ""Teenage Mutant Ninja Turtles.""

Outside of his acting, music, and voice acting careers, Rathbone is also known for his work as a director. He has directed several short films and music videos, and has also directed episodes of the television show ""Spartacus: War of the Damned.""

Overall, Jackson Rathbone is a talented and versatile artist, with a career that spans across film, television, music, and voice acting."
1,Q338812,Chazz Palminteri," Chazz Palminteri is an American actor, director, and playwright. He was born on May 26, 1959, in the Bronx, New York. Palminteri grew up in a tough neighborhood and had a difficult childhood, which would later inspire many of his plays and films.

Palminteri began his career as a stand-up comedian, performing in comedy clubs throughout New York City. He quickly made a name for himself as a talented and entertaining performer. In the late 1980s, he began writing and performing his own one-man shows, which would eventually lead to the creation of his most famous play, ""A Bronx Tale.""

""A Bronx Tale"" is a semi-autobiographical play that tells the story of a young man growing up in the Bronx in the 1960s. The play was a critical and commercial success, and it led to a successful film adaptation in 1993, directed by Robert De Niro.

Palminteri has since written and directed several other films and plays, including ""Bullets Over Broadway,"" ""The Usual Suspects,"" and ""La Cage aux Folles."" He has been praised for his unique storytelling style and his ability to bring complex and nuanced characters to life on the screen and stage.

Despite his success, Palminteri has remained humble and down-to-earth. He often speaks about the importance of hard work and determination, and he has used his platform to raise awareness about social issues and to support charitable causes.

Overall, Chazz Palminteri is a highly respected and accomplished artist who has made a lasting impact on the world of film and theater. His work continues to inspire and entertain audiences around the world."
2,Q318220,Abe Vigoda," Abraham ""Abe"" Vigoda was an American actor, best known for his roles as Detective Charles ""Detective Fish"" Fish on the television show ""Barney Miller"" and as Sal the Butcher in the ""The Godfather"" film series.

Vigoda was born on January 24, 1915, in Brooklyn, New York. He began his acting career in the 1950s and appeared in numerous films and television shows throughout his life. In addition to his roles on ""Barney Miller"" and ""The Godfather,"" Vigoda also had roles in other popular TV shows such as ""Hogan's Heroes,"" ""All in the Family,"" and ""M*A*S*H.""

Vigoda was known for his distinctive voice and his ability to play tough, no-nonsense characters. He was also a veteran of World War II, where he served as a soldier in the United States Army.

Vigoda passed away on January 26, 1982, at the age of 67. He was survived by his wife, Beatrice, and his daughter, Carol. Despite his passing, his legacy as a talented actor and his iconic roles continue to live on."
3,Q471383,Joe Calzaghe," Joseph ""Joe"" Calzaghe was born on March 20, 1978 in Skeidar, a small village in the mountains of Iceland. Growing up in a family of modest means, Calzaghe had to work hard from a young age to help support his family. He began boxing at the age of 12, and quickly discovered that he had a natural talent for the sport.

Calzaghe's early years in boxing were marked by a series of tough losses, but he never gave up. He continued to train and improve, and by the time he was 18, he had turned his career around and started winning fights.

Over the next several years, Calzaghe became one of the most dominant boxers in the world. He won multiple championships and defended them with ease, earning a reputation as one of the best pound-for-pound fighters of his time.

Despite his success, Calzaghe never lost sight of his humble beginnings. He remained grounded and focused, and continued to work hard both in and out of the ring. He retired from boxing in 2012, but remains an inspiration to aspiring athletes and a beloved figure in the world of sports."
4,Q5231782,David Bromstad," David Bromstad is an American interior designer, television personality, and author. He was born on August 17, 1978, in Minneapolis, Minnesota. Bromstad grew up in a family of artists and designers, which sparked his interest in interior design at a young age.

After completing high school, Bromstad attended the Art Institute of Minnesota, where he earned a degree in interior design. He then began his career in the interior design industry, working on various projects and honing his skills.

In 2009, Bromstad gained widespread recognition when he was named the winner of the first season of HGTV's Design Star competition. This success led to the development of his own television show, ""Design Star with David Bromstad,"" which aired for four seasons on HGTV.

Throughout his career, Bromstad has worked on a variety of high-profile projects, including the design of the first-ever Dream Home for HGTV, as well as the interior design of the White House for President Obama. He has also authored several books on interior design, including ""Design Star: The Home Guide from David Bromstad.""

In addition to his work in interior design and television, Bromstad is also known for his philanthropic efforts. He has worked with various organizations to support causes such as LGBTQ+ rights and the fight against HIV/AIDS.

Overall, David Bromstad is a highly accomplished interior designer and television personality, known for his unique and stylish designs, as well as his dedication to giving back to his community."
5,Q711892,David Allan Coe," David Allan Coe, also known as ""The Ride,"" was born on September 23, 1939, in Akron, Ohio. He grew up in a family of musicians and began playing guitar at a young age. After serving in the United States Army, Coe began his career in country music in the late 1950s.

Throughout his career, Coe has had numerous hits on the country music charts, including ""Take This Job and Shove It,"" ""The Ride,"" ""She Came in Through the Bathroom Window,"" and ""Honky Tonk Man."" He is known for his outlaw country sound and his rebellious image.

Despite his success in country music, Coe has also had a number of legal troubles throughout his life. He has been arrested multiple times for various offenses, including drug charges and weapons possession. In 2002, he was sentenced to 10 years in prison for drug trafficking.

Despite these challenges, Coe has continued to perform and record music. He has released numerous albums throughout his career, and has remained a popular figure in country music. In 2011, he was inducted into the Ohio Country Music Hall of Fame.

Today, David Allan Coe is considered a legend in country music. His music has had a significant impact on the genre, and he remains an influential figure in outlaw country. Despite his legal troubles, he continues to be a beloved figure in the music world."
6,Q2640705,Mario Batali," Mario Batali is an American celebrity chef, restaurateur, and television personality. He was born on December 16, 1960, in Queens, New York. Batali grew up in a large Italian-American family, which had a significant influence on his culinary interests.

After completing high school, Batali attended the Culinary Institute of America, where he earned a degree in culinary arts. He then worked in various kitchens, including those of the Four Seasons Hotel in New York City and the Mandarin Oriental Hotel in Hong Kong.

In 1991, Batali co-founded the restaurant Babbo with his business partner, Joe Bastianich. The restaurant quickly gained critical acclaim and became a popular destination for food lovers in New York City. Batali's innovative approach to Italian cuisine, which incorporated fresh and high-quality ingredients, helped establish Babbo as a leader in the culinary world.

Batali's success as a chef and restaurateur led to numerous opportunities in the food industry. He appeared as a judge on the television show ""Iron Chef,"" hosted the cooking show ""Molto Mario,"" and authored several cookbooks, including ""Mario Batali: Over 150 Recipes for the Home Cook.""

In addition to his culinary pursuits, Batali is also known for his philanthropic efforts. He has established the Mario Batali Foundation, which supports various charitable causes, including food-related initiatives and educational programs.

Throughout his career, Mario Batali has earned numerous awards and accolades for his contributions to the food industry. He continues to be a highly influential figure in the world of cuisine, and his impact on the culinary world is sure to endure for years to come."
7,Q1841191,Bob Morley," Bob Morley was born on January 1, 1985 in Melbourne, Australia. He grew up in a family of artists, which inspired him to pursue a career in the arts. At the age of 16, he started playing the guitar and quickly became interested in music. He spent countless hours practicing and writing his own songs, which he would later perform at local open mic nights.

After finishing high school, Bob decided to take his passion for music to the next level. He moved to the United States to attend the prestigious Berklee College of Music in Boston, Massachusetts. While studying at Berklee, Bob met like-minded individuals who would become his bandmates in the band ""The Sounds.""

Bob's musical talents were not limited to just playing the guitar. He was also an accomplished singer and songwriter. His music was a fusion of different genres, including rock, pop, and electronic. He was known for his high-energy live performances, which often left audiences wanting more.

In addition to his musical pursuits, Bob was also an advocate for mental health awareness. He openly discussed his own struggles with mental illness and used his platform to raise awareness about the importance of seeking help and support.

Bob's life was tragically cut short on May 2, 2018, when he passed away due to complications from mental illness. Despite his short time on this earth, Bob made a lasting impact on the music world and the lives of those who knew him. His legacy lives on through his music and the memories of those who knew and loved him."
8,Q116980,Gennaro Gattuso," Gennaro Gattuso, also known as ""Geno,"" is an Italian professional footballer who was born on September 21, 1978, in Naples, Italy. He began his football career at a young age, playing for local teams in Naples before being scouted by AC Milan at the age of 14.

Gattuso quickly rose through the ranks at AC Milan, making his professional debut in 1998. Over the next decade, he established himself as one of the most dominant midfielders in Italian football, known for his tireless work rate, tackling ability, and leadership on and off the field.

In 2006, Gattuso captained Italy to victory in the European Under-21 Championship, and later that year, he made his senior international debut for the Italian national team. Over the next decade, he became a mainstay in the Italian team, earning over 50 caps and serving as captain in several high-profile matches, including the 2010 World Cup.

Despite his success on the field, Gattuso was never afraid to get dirty and put his body on the line for his team. He was known for his aggressive style of play, which often involved sliding into tackles and putting his body on the line to win the ball back for his team.

After retiring from professional football in 2016, Gattuso took on a coaching role with AC Milan's youth team. In 2018, he was appointed as the team's assistant coach under Gennaro Gattuso, the former player who shares his name.

Gattuso's legacy in Italian football is one of a tireless worker, a leader on and off the field, and a true representation of the spirit of the game. He will always be remembered as one of the greatest midfielders in Italian football history."
9,Q3017223,Dave Mirra," Dave Mirra was a professional BMX rider and skateboarder from the United States. He was born on February 4, 1974, in Long Beach, California. Mirra began riding BMX bikes at the age of 10 and quickly became skilled in the sport. He started competing in BMX races and events at a young age and quickly gained recognition for his talent.

In 1995, Mirra won the first of his three consecutive X Games gold medals in the BMX park event. He also won a silver medal in the same event at the 2000 Summer Olympics in Sydney, Australia. In addition to his success in BMX, Mirra was also a skilled skateboarder and won several competitions in that sport as well.

Mirra's talent and dedication to the sport of BMX earned him a large following and he was widely regarded as one of the greatest BMX riders of all time. Tragically, Mirra passed away on February 4, 2010, at the age of 36. His legacy lives on through his achievements and the inspiration he provided to young riders around the world."
