,s_uri,subject,generation
0,Q344822,Herb Alpert," Herb Alpert is an American musician, composer, and bandleader. He was born on March 31, 1935, in Los Angeles, California. Alpert began playing the trumpet at the age of eight and soon became interested in jazz music. He attended the California Institute of Technology, where he studied physics and mathematics, but left before completing his degree to pursue a career in music.

In the early 1960s, Alpert formed a group called the Tijuana Brass, which became popular for its unique blend of jazz and Mexican music. The group's hit single ""The Lonely Bull"" won a Grammy Award for Best Instrumental Performance in 1963, and Alpert's trumpet playing on the track earned him widespread recognition.

Over the next few decades, Alpert continued to record and perform with various groups, including his own Herb Alpert's Tijuana Brass. He also pursued a successful career as a record producer, winning multiple Grammy Awards for his work with other artists. In addition to his musical accomplishments, Alpert has also been involved in philanthropic efforts, including supporting education and arts programs.

Throughout his career, Alpert has remained a beloved figure in the music industry, known for his distinctive trumpet playing and his contributions to jazz and popular music."
1,Q1077393,Chris Kamara," Chris Kamara is a well-known television personality, sports commentator, and journalist. He was born on August 1, 1960, in the United Kingdom and grew up in a family that was passionate about sports. From a young age, Kamara was fascinated by sports and was determined to make a career out of it.

After completing his education, Kamara began his career in sports journalism. He started as a reporter for a local sports newspaper and quickly made a name for himself as an insightful and knowledgeable commentator on sports. He gained a reputation for being able to analyze and predict the outcomes of games with remarkable accuracy.

Kamara's talent and hard work soon caught the attention of television producers, and he was soon offered a job as a sports commentator for a popular television show. Over the years, Kamara has become one of the most recognizable faces in sports journalism. He is known for his engaging and entertaining commentary, as well as his ability to connect with viewers on a personal level.

In addition to his work on television, Kamara is also a highly sought-after speaker and motivational speaker. He has given speeches at numerous events and conferences, inspiring audiences with his passion for sports and his belief in the power of hard work and dedication.

Despite his success, Kamara remains humble and grounded. He is known for his kind and approachable demeanor, and he has a genuine love for sports that he shares with his audience. He continues to be a beloved figure in the world of sports journalism and television, and his legacy as a pioneer in the industry will endure for years to come."
2,Q206466,Mahalia Jackson," Mahalia Jackson was an American gospel, soul, and R&B singer, who was born on October 27, 1911, in New Orleans, Louisiana. She rose to fame in the 1940s and became one of the most successful and influential gospel singers of all time.

Jackson began singing as a child in the choir at her local church, and by the time she was a teenager, she was already performing at local churches and community events. In the 1940s, she began recording for the J.L. Ranch label, and her powerful and emotive singing style quickly gained her a large following.

Throughout her career, Jackson recorded many classic gospel songs, including ""Take My Hand, Precious Lord,"" ""I'll Be Satisfied,"" and ""Motherless Child."" She also crossed over to the pop charts with songs like ""God's Child—Mama"" and ""I Love Jesus.""

Jackson's performances were known for their emotional intensity and her ability to connect with her audience. She was also known for her powerful and expressive voice, which could fill a stadium and bring people to their feet.

In addition to her successful career as a singer, Jackson was also an important figure in the civil rights movement. She performed at many of the major civil rights events of the 1960s, including the 1963 March on Washington, where she sang ""I Shall Not Be Moved"" to a crowd of 250,000.

Jackson continued to perform and record until her death in 1972, leaving behind a legacy as one of the most influential and beloved gospel singers of all time."
3,Q12807,Umberto Eco," Umberto Eco was an Italian philosopher, semiotician, and novelist. He was born on November 5, 1932, in Alessandria, Italy, to a family of modest means. Eco's father was a school teacher, and his mother was a teacher as well. He showed an early interest in literature and philosophy, and he attended the University of Turin, where he earned a degree in philosophy.

After completing his degree, Eco worked as a professor of semiotics at the University of Bologna. He was also a visiting professor at many prestigious universities around the world, including Harvard, Yale, and Columbia. In addition to his academic work, Eco was also a prolific writer. He wrote over 20 books, including novels, essays, and academic works.

One of Eco's most famous works is his novel ""The Name of the Rose,"" which was published in 1980. The book is set in a medieval monastery and tells the story of a young monk who tries to solve a series of murders that are taking place on the campus. The book was a bestseller and was later turned into a successful film.

Eco was also known for his work in semiotics, the study of signs and symbols. He developed the theory of ""semiotics of the future,"" which argued that the future could be predicted through the analysis of signs and symbols. He also wrote extensively on the subject of media and communication.

Eco passed away on February 19, 2016, at the age of 84. He left behind a legacy of intellectual achievement and a body of work that continues to be studied and admired by scholars and readers around the world."
4,Q272579,Glynis Johns," Glynis Johns was a Welsh actress and singer, born on August 20, 1913, in Swansea, Wales. She began her career in the entertainment industry at a young age, performing in local theater productions and later moving on to radio and television.

In the 1940s, Johns made her film debut in ""The Life and Death of Colonel Blimp"" alongside Clive Clerk and Roger Livesey. She went on to appear in numerous films throughout her career, including ""The Master of Bankdam,"" ""The Man in the White Suit,"" and ""The Parent Trap.""

Johns was also a talented singer and recorded several albums throughout her life. She was known for her warm, mezzo-soprano voice and her ability to bring a sense of humor and lightheartedness to her performances.

In addition to her work in the entertainment industry, Johns was also an active member of the Welsh community. She was a strong advocate for Welsh culture and language, and even learned to speak Welsh fluently.

Johns passed away on January 11, 2001, at the age of 87. She left behind a legacy of entertaining and inspiring audiences with her talent and passion for the arts."
5,Q468443,Linda Lavin," Linda Lavin is an accomplished actress, known for her versatile and dynamic performances on stage and screen. Born on January 15, 1947, in the Bronx, New York, Lavin grew up in a family of actors and performers, which inspired her to pursue a career in the entertainment industry.

After studying acting at the Neighborhood Playhouse School of the Theatre, Lavin made her Broadway debut in the musical ""New Faces of 1968."" She quickly gained recognition for her talent and was soon cast in leading roles in productions such as ""The Odd Couple,"" ""Bent,"" and ""The Tale of the Allergist's Wife.""

Lavin's film and television career also took off in the 1970s and 1980s, with roles in films like ""Alice's Restaurant,"" ""The Muppets Take Manhattan,"" and ""The Candidate,"" as well as television shows like ""Alice,"" ""Buffalo Bill,"" and ""L.A. Law."" Her performances were often praised for their humor, warmth, and depth, and she received multiple Emmy nominations for her work.

In addition to her acting career, Lavin has also been an advocate for the arts and has served on the boards of several theater companies, including the Public Theater and the Roundabout Theatre Company. She has also been involved in various charitable organizations and has used her platform to raise awareness about important social and political issues.

Throughout her career, Linda Lavin has demonstrated a remarkable ability to captivate audiences with her performances and has earned a reputation as one of the most talented and versatile actresses of her generation."
6,Q307882,Judy Davis," Judy Davis was born on December 15, 1945, in Sydney, Australia. She began her acting career in the early 1970s and quickly became one of Australia's most celebrated and versatile actresses.

Davis made her film debut in 1971 in the Australian drama ""The Adventures of Barry McKenzie."" She went on to appear in a number of Australian films and television shows, including ""The Sullivans,"" ""Homicide,"" and ""The Young Doctors.""

In the mid-1980s, Davis relocated to the United States and began working in American films and television shows. She made her American film debut in 1985's ""Planes, Trains and Automobiles,"" and went on to appear in films such as ""A Passage to India,"" ""The Piano,"" ""The Dressmaker,"" and ""Maestro.""

Davis is also known for her work in theater, including a Tony-nominated performance in the Broadway production of ""The Secret Garden."" She has won numerous awards for her acting, including an Academy Award, a BAFTA Award, and two Golden Globes.

In addition to her acting career, Davis is also a director and producer, having directed episodes of ""The Sullivans"" and ""Home and Away."" She has been married to fellow actor, writer, and director David Davis since 1973, and the two have collaborated on several projects.

Throughout her career, Davis has demonstrated a remarkable range as an actress, from comedic roles in films like ""The Castle"" to dramatic performances in films like ""The Piano."" She is widely regarded as one of the greatest actresses of her generation, and continues to be celebrated for her talent and versatility."
7,Q193160,Robert Sean Leonard," Robert Sean Leonard, also known as Sean Leonard, was born on December 23, 1979, in the United States. He is an actor, known for his roles in various television shows and films.

Leonard began his acting career in the early 2000s, making appearances in shows such as ""The O.C."" and ""Veronica Mars."" He gained widespread recognition for his portrayal of the character Jim ""Jimmy"" Chisholm in the hit TV show ""Gilmore Girls."" Leonard's performance was praised for its depth and complexity, and he received critical acclaim for his work on the show.

In addition to his work on ""Gilmore Girls,"" Leonard has also appeared in films such as ""The Fast and the Furious: Tokyo Drift"" and ""The Spiderwick Chronicles."" He has also lent his voice to various animated films and TV shows, including ""The Batman"" and ""Justice League.""

Despite his success, Leonard has remained humble and dedicated to his craft. He continues to work on various projects, showcasing his talent and versatility as an actor."
8,Q439927,Brooke Burke," Brooke Burke is an American actress, television personality, and fitness expert. She was born on April 4, 1978, in Sacramento, California. Burke began her career in the entertainment industry as a dancer, and she eventually transitioned into acting. She made her film debut in the 2001 comedy-drama ""Zenon: Girl of the 21st Century.""

Burke gained widespread recognition for her role as Susan ""Sam"" Brody on the hit TV show ""Charlie's Angels."" She appeared in the series from 2000 to 2003, and later reprised her role in the 2019 reboot. In addition to her work on ""Charlie's Angels,"" Burke has also appeared in various other television shows and films, including ""7th Heaven,"" ""The Bold and the Beautiful,"" and ""Dancing with the Stars.""

Aside from her acting career, Burke is also a fitness enthusiast and entrepreneur. She is the founder of the fitness apparel brand, ""B Burke Active,"" and has released her own fitness DVDs. Burke is also a popular television personality, having hosted various shows such as ""The Chopping Block,"" ""Dancing with the Stars,"" and ""Botched.""

Throughout her career, Burke has been praised for her talent, hard work, and dedication to her craft. She continues to be a well-known figure in the entertainment industry and a role model for aspiring actors and entrepreneurs."
9,Q260918,Tammi Terrell," Tammi Terrell, also known as Tammi Terrell-Baptiste, was a Jamaican-American singer and songwriter. Born on April 28, 1945, in Kingston, Jamaica, Terrell moved to the United States at the age of 15 to pursue a career in music. She began her career as a backing singer for various artists, including the Soul Brothers Six and the Sweet Inspirations.

In 1967, Terrell signed a solo recording contract with the Motown label and released her debut album, ""Easy"", the same year. The album included the hit single ""Ain't No, I in Team"", which became a top 10 R&B hit. Terrell's soulful and powerful voice quickly made her a favorite among Motown fans.

Over the next few years, Terrell released several more albums, including ""You're My Thing"" and ""Funky Broadway"", which featured the title track, a tribute to the 1969 New Orleans uprising. Terrell's music often dealt with social and political issues, making her a prominent voice of her time.

Terrell's career was cut short by illness, and she passed away on March 16, 1970, at the age of 24. Despite her short career, Terrell left a lasting impact on Motown and soul music, and her legacy continues to inspire artists today."
