,s_uri,subject,generation
0,Q156552,Lynn Redgrave," Lynn Redgrave was an English actress, director, and writer. She was born on March 21, 1943, in London, England. She began her acting career in the 1960s and appeared in numerous films and television shows throughout her life.

Redgrave made her film debut in ""The Knack... and How to Get It"" in 1965, and went on to appear in films such as ""Georgy Girl,"" ""Mary, Queen of Scots,"" and ""Shakespeare's Globe."" She also had a successful career on the stage, appearing in productions such as ""Hedda Gabler"" and ""The Threepenny Opera.""

In addition to her acting career, Redgrave was also a director and writer. She directed the film ""The Frasier"" and wrote the book for the musical ""Sunday on the Rocks.""

Redgrave was known for her versatility as an actress, able to play a wide range of roles. She was also known for her strong, independent personality and her advocacy for women in the film and theater industry.

Redgrave passed away on May 2, 2010, at the age of 67. She left behind a legacy as a talented actress, director, and writer, and as an advocate for women in the arts."
1,Q16239819,Ivan Toney," Ivan Toney was born on January 1, 1990 in a small town in the United States. From a young age, he was fascinated by technology and how it could be used to solve problems. He spent much of his childhood tinkering with computers, building his own software, and exploring the internet.

As he grew older, Ivan became increasingly interested in the field of artificial intelligence. He studied the subject diligently, attending classes at local colleges and universities, and even taking online courses to further his knowledge.

Eventually, Ivan decided to pursue a career in AI. He landed a job at a prestigious tech company, where he worked on developing cutting-edge AI technologies. He quickly made a name for himself as a skilled programmer and innovative thinker.

Over the years, Ivan has continued to work in the field of AI, making significant contributions to the development of new technologies. He is now considered one of the leading experts in the field, and his work has been recognized and celebrated around the world.

Despite his many accomplishments, Ivan remains humble and dedicated to his work. He continues to push the boundaries of what is possible with AI, and his contributions to the field will no doubt continue to make a significant impact for years to come."
2,Q236543,Anne Murray," Anne Murray, CC, ONS (born June 20, 1936) is a Canadian singer and songwriter. Born in Springhill, Nova Scotia, Canada, Murray first gained fame in the 1960s and 1970s with hits such as ""Snowbird,"" ""Lonely Night in the City,"" and ""Put Your Hand in the Hand."" She has won multiple awards, including five Grammy Awards, and has sold over 55 million records worldwide.

Murray began her career in the music industry as a teenager, performing in local talent shows and eventually landing a record deal with Capitol Records. Her first hit, ""Snowbird,"" was released in 1970 and became one of the biggest hits of that year. She followed it up with a string of other hits, including ""Lonely Night in the City,"" ""Put Your Hand in the Hand,"" and ""You Needed Me.""

In addition to her solo career, Murray has also performed with various artists throughout her career, including Andy Williams, Dusty Springfield, and Loretta Lynn. She has also released several albums as a solo artist, with her most recent album, ""Anne Murray: Ultimate Collection,"" being released in 2010.

Murray has been inducted into the Canadian Music Hall of Fame and has been awarded the Order of Canada and the Governor General's Award for Literature. She continues to perform and record music, and remains one of the most beloved and successful artists in Canadian music history."
3,Q260211,Yaya DaCosta," Yaya DaCosta is a talented actress and singer, born on January 15, 1979, in New York City, New York. She is of Brazilian descent and was raised by her mother, who is a singer and pianist. From a young age, Yaya was exposed to the arts and was encouraged to pursue her passion for acting and singing.

Yaya began her career in the entertainment industry as a child, appearing in various television commercials and shows. She made her film debut in the 2002 film ""25th Hour"" and went on to appear in other films such as ""Tropic Thunder"" and ""The Kids Are All Right.""

In addition to her film career, Yaya has also had a successful career in television. She has appeared in various TV shows such as ""Ugly Betty,"" ""Glee,"" and ""How to Get Away with Murder."" Her performance in ""Ugly Betty"" earned her an ALMA Award for Outstanding Actress in a Drama Series.

Yaya has also been involved in theater, making her Broadway debut in the 2010 production of ""The Addams Family."" She has since appeared in other Broadway productions such as ""In the Heights"" and ""Hamilton.""

Aside from her acting and singing career, Yaya is also an advocate for diversity and representation in the entertainment industry. She has spoken out about the importance of having more people of color in front of and behind the camera.

Overall, Yaya DaCosta is a talented and accomplished actress and singer, with a successful career in film, television, and theater. She is known for her versatile performances and dedication to promoting diversity and representation in the entertainment industry."
4,Q1277039,Slim Pickens," Slim Pickens was an American actor born on January 29, 1919, in Holdenville, Oklahoma. He began his career in the entertainment industry as a rodeo performer and cowboy, which eventually led him to pursue a career in acting.

Pickens made his film debut in the 1951 film ""The Big Sky,"" and went on to appear in over 100 films and television shows throughout his career. He was known for his distinctive voice and his ability to play a wide range of characters, from cowboys and ranchers to villains and comic relief.

One of Pickens' most memorable roles was as Major T. J. ""King"" Kong in the 1968 film ""Dr. Strange and Mr. Hyde."" He also appeared in classic films such as ""Blazing Saddles,"" ""The Coen Brothers' films,"" and ""Pulp Fiction.""

In addition to his work in film and television, Pickens was also an accomplished musician and singer. He released several albums throughout his career and was known for his unique blend of country, blues, and rock and roll.

Sadly, Slim Pickens passed away on December 16, 1983, at the age of 64. Despite his passing, he remains a beloved figure in the entertainment industry and his work continues to be celebrated and admired by fans around the world."
5,Q555370,Ed McMahon," Ed McMahon was an American businessman and philanthropist, best known as the longtime executive assistant to the founder of the direct marketing company, American Family Publishers (AFP). He served as a key figure in the growth and success of the company, and was widely respected for his integrity and dedication to his work.

Edward McKay McMahon was born on March 17, 1920, in the small town of Omaha, Nebraska. He grew up in a family that valued hard work and self-reliance, and from a young age, Ed was instilled with the values of honesty and integrity. After serving in the United States Navy during World War II, Ed began his career with AFP in 1948.

Over the next several decades, Ed played a pivotal role in the growth and success of AFP. He was known for his exceptional organizational skills, attention to detail, and unwavering commitment to the company's success. Ed also played an active role in the philanthropic efforts of AFP, particularly in the area of children's charities.

In 1984, Ed was appointed as the national spokesperson for the American Cancer Society's ""Reach Out to Children"" program, which aimed to provide emotional support to children with cancer and their families. Ed's personal experience with cancer, having lost his beloved wife, Sarah, to the disease in 1998, only deepened his commitment to this cause.

Ed McMahon passed away on June 23, 2009, at the age of 89. He was remembered as a true gentleman, a dedicated public servant, and a tireless advocate for children in need. His legacy continues to inspire others to make a positive difference in the world."
6,Q1189725,Tom Anderson," Tom Anderson is a well-known entrepr
======="
7,Q359397,Nicolas Winding Refn," Nicolas Winding Refn is a Danish film director, screenwriter, and producer. He was born on December 23, 1958, in Copenhagen, Denmark. Refn grew up in a family of artists, and he developed an early interest in filmmaking. He began his career as a film critic and journalist, writing for various Danish publications.

Refn made his directorial debut with the 1996 film ""Pusher,"" which was well-received at the Cannes Film Festival. He followed this success with the critically acclaimed films ""Bleeder"" (1999), ""The One and Only Peter Sellers"" (2000), and ""Italians"" (2001). In 2004, Refn directed the cult classic ""Dogville,"" which starred Nicole Kidman and won the Palme d'Or at the Cannes Film Festival.

Refn's next film, ""Blood Ran Through the Streets"" (2005), was not as successful as ""Dogville,"" but he bounced back with the acclaimed film ""Taxi 0"" (2007), which was Denmark's submission for the Academy Awards. In 2011, Refn directed the critically acclaimed film ""Drive,"" which starred Ryan Gosling and was nominated for several awards.

Refn's most recent film, ""The Neon Demon"" (2016), was also well-received, and he is currently working on a new project. Despite his success, Refn has remained relatively low-key and has not sought the spotlight like some of his contemporaries. He is known for his unique and stylistic approach to filmmaking, and he continues to be an influential figure in the world of cinema."
8,Q442013,Constance Zimmer," Constance Zimmer is an American actress, born on August 22, 1970, in New York City. She began her acting career in the late 1990s and early 2000s, with roles in various television shows and films.

Zimmer's early roles included appearances on ""Law & Order,"" ""NYPD Blue,"" and ""Ally McBeal."" She also had a recurring role on the popular show ""Six Feet Under."" In the early 2000s, Zimmer gained recognition for her portrayal of the character ""Dana Gordon"" on the television show ""Joan of Arcadia.""

Throughout her career, Zimmer has appeared in numerous television shows and films, including ""The Office,"" ""Parks and Recreation,"" ""Modern Family,"" ""The Good Wife,"" and ""Unbreakable Kimmy Schmidt."" She has also had roles in films such as ""The Proposal"" and ""The Guilt Trip.""

In addition to her work in television and film, Zimmer has also lent her voice to various animated projects, including the role of ""Sue Heck"" on ""The Middle.""

Zimmer has been praised for her versatile acting abilities and has received recognition for her work in the entertainment industry."
9,Q2665333,Rochelle Humes," Rochelle Humes is a British singer, songwriter, and actress. She was born on January 10, 1979, in London, England. Humes began her career in the entertainment industry as a member of the girl group, The Saturdays. With The Saturdays, she released two albums and several singles, including ""Just Beat of My Heart"" and ""All Fired Up.""

After The Saturdays disbanded, Humes pursued a solo career, releasing her debut album, ""Rochelle,"" in 2016. The album featured the singles ""Sleepless,"" ""Losing You,"" and ""These Days."" Humes has also appeared in various television shows and movies, including ""The X Factor,"" ""Hollyoaks,"" and ""Doctor Who.""

In addition to her career in music and television, Humes is also known for her work as a television presenter. She has co-presented several shows, including ""The Voice Kids"" and ""The Great British Bake Off: An Extra Sweet Edition."" Humes has also been involved in various charity campaigns and initiatives, including supporting the Make-A-Wish Foundation and the British Heart Foundation.

Outside of her career in the entertainment industry, Humes is married to JLS band member Marvin Humes and they have two children together."
