,s_uri,subject,generation
0,Q184586,Gareth Bale," The man in the image is Cristiano Ronaldo, a professional soccer player. He was born on September 24, 1979, in Funchal, Madeira, Portugal. Ronaldo started his career with Sporting CP, where he quickly gained recognition for his exceptional skills and talent. In 2003, he moved to Manchester United, where he became one of the most successful players in the club's history. He also played for Real Madrid and the Portuguese national team.

Ronaldo is known for his impressive dribbling skills, speed, and powerful shots. He has won numerous awards, including five Ballon d'Or awards, which is a record for a soccer player. He has also been named the FIFA World Player of the Year three times. Ronaldo is considered one of the greatest soccer players of all time, and his legacy continues to grow as he continues to excel in the sport."
1,Q234363,Maisie Williams," The woman in the image is a young actress, known for her roles in various movies and TV shows. She has a distinctive look, with her piercing blue eyes, and her smile is often described as ""killer."" The actress is also known for her talent in playing a wide range of characters, from action heroines to romantic leads. Her dedication to her craft and her passion for acting have earned her a strong fan base and recognition in the entertainment industry."
2,Q902879,Ranveer Singh," The man in the image is none other than the famous Indian actor, Ranbir Kapoor. He is known for his roles in Bollywood films and has won several awards for his performances.

Ranbir Kapoor was born on September 28, 1973, in Mumbai, Maharashtra, India. He is the son of the legendary Indian actor, Raj Kapoor. Ranbir started his career in the entertainment industry as a model and later made his acting debut in the film ""Aap Ki Kasam"" in 1974.

Over the years, Ranbir has appeared in numerous films, showcasing his acting skills and versatility. Some of his most notable films include ""Bachelor Party,"" ""Sarfarosh,"" ""Yuva,"" ""Ajab Prem Ki Ghazab Kahani,"" ""Wake Up Sid,"" ""Rockstar,"" ""Barfi,"" ""Yeh Jawaani Hai Deewani,"" ""Besharam,"" and ""Tamasha.""

Ranbir has also won several awards for his performances, including the Filmfare Award for Best Actor for ""Wake Up Sid,"" ""Rockstar,"" and ""Besharam."" He has been praised for his acting skills, versatility, and the ability to portray a wide range of characters.

In addition to his acting career, Ranbir has also been involved in producing and directing films. He made his debut as a producer with the film ""Ajab Prem Ki Ghazab Kahani"" and has also directed the film ""Ajay Devgn.""

Overall, Ranbir Kapoor is a highly talented and accomplished actor, known for his impressive performances and versatility in the entertainment industry."
3,Q862460,Bill Skarsgård," The man in the image is named Mark Ruffalo. He is an American actor, director, and producer, known for his roles in various movies and TV shows. Some of his most notable works include ""Eternal Sunshine of the Spotless Mind,"" ""The Kids Are All Right,"" ""Avengers: Endgame,"" and ""Spotlight.""

Ruffalo was born on November 21, 1967, in San Diego, California. He started his acting career in the early 1990s and has since appeared in numerous films and television shows. In addition to his acting career, Ruffalo has also directed and produced several films and TV series.

He is known for his versatile acting skills and has been praised for his performances in various genres, including drama, comedy, and action. Ruffalo has received several awards and nominations for his work, including an Academy Award, a Golden Globe Award, and a Screen Actors Guild Award."
4,Q208667,Stellan Skarsgård," The man in the image is named ""Bill."" He is a middle-aged man with a beard and a bald spot. He is wearing a white shirt and appears to be smiling. The image is taken in front of a building, which could be a workplace or a public space. The man's attire and demeanor suggest that he might be a professional or someone who enjoys a casual and approachable image."
5,Q231237,Karen Gillan," The woman in the image is known as Carrie Fisher, an American actress, and author. She was born on October 21, 1956, in Beverly Hills, California. Carrie Fisher is best known for her portrayal of Princess Leia in the Star Wars film franchise. She also wrote the novel ""Scream for Me, Mandy"" and directed the film ""Holy Matrimony.""

Carrie Fisher was a strong advocate for mental health awareness and was open about her own struggles with mental illness. She passed away on December 27, 2016, at the age of 60. Her contributions to the entertainment industry and her advocacy for mental health awareness will be remembered and celebrated by fans and admirers alike."
6,Q184572,Martin Sheen," The man in the image is named Robert. He is an older gentleman with a well-groomed appearance. He is wearing a suit and tie, which suggests that he might be attending a formal event or a professional setting. The image captures a close-up of Robert, showcasing his facial features and his well-groomed beard. The man appears to be confident and well-dressed, possibly indicating a successful career or a strong sense of personal style."
7,Q201279,Woody Harrelson," The man in the image is Dwayne ""The Rock"" Johnson, a former professional wrestler turned actor and entrepreneur. He was born on May 2, 1972, in Hayward, California, and started his career in the entertainment industry in the late 1990s.

Johnson gained fame as a professional wrestler, winning multiple championships and becoming a household name. He then transitioned to acting, making his film debut in the 2001 movie ""The Mummy Returns."" Since then, he has starred in numerous movies and TV shows, such as ""The Scorpion King,"" ""Fast & Furious,"" ""Jumanji,"" ""Ballers,"" and ""Young Rock.""

In addition to his acting career, Johnson has also ventured into entrepreneurship. He has co-founded several companies, including the production company Seven Bucks Productions and the athlete management company, Seven Bucks Management.

Overall, Dwayne ""The Rock"" Johnson is a well-known figure in the entertainment industry, with a successful career in both acting and entrepreneurship."
8,Q39444,Ronaldinho," The image features a man with dreadlocks, wearing a pink shirt and a gold chain. He is smiling and appears to be in a good mood. The man's name is not provided, but he is likely a hip-hop artist or a musician, given his attire and the context of the image. The man's biography could include his journey into the music industry, his influences, and his experiences as a performer. Additionally, he could share his thoughts on the hip-hop culture and its impact on society."
9,Q212545,Natasha Richardson," The woman in the image is a well-known model and actress, known for her distinctive blonde hair and her iconic glasses. Her name is Marilyn Monroe, and she was born on June 1, 1926, in Los Angeles, California. Monroe rose to fame in the 1940s and 1950s, becoming one of the most successful and influential actresses of her time. She was known for her roles in films like ""Gentlemen Prefer Blondes,"" ""How to Marry a Millionaire,"" and ""Some Like It Hot."" Monroe's unique style, including her signature glasses, was a significant part of her public image and helped her stand out in the entertainment industry. Her tragic death in 1962 at the age of 36 marked the end of her career, but her legacy lives on through her films and her enduring influence on the world of entertainment."
